GENRE,ALBUM/SONG,DURATION
1,1/1,4:32
1,1/2,3:44
1,1/3,3:55
1,1/4,3:28
1,1/5,4:37
1,1/6,5:47
1,1/7,2:30
1,1/8,3:32
1,1/9,4:07
1,1/10,3:39
1,1/11,5:07
1,1/12,7:14
1,1/13,4:25
1,1/14,5:21
1,1/15,5:01
1,1/16,3:26
1,1/17,3:57
1,1/18,5:51
1,2/1,6:06
1,2/2,4:27
1,2/3,2:54
1,2/4,3:37
1,2/5,4:11
1,2/6,4:30
1,2/7,5:22
1,2/8,3:47
1,2/9,4:56
1,2/10,3:44
1,2/11,4:15
1,2/12,4:21
1,2/13,7:12
1,3/1,4:01
1,3/2,3:01
1,3/3,2:57
1,3/4,4:35
1,3/5,5:10
1,3/6,2:57
1,3/7,3:00
1,3/8,4:54
1,3/9,3:56
1,3/10,3:32
1,3/11,4:28
1,3/12,2:47
1,3/13,4:41
1,3/14,4:12
1,3/15,4:24
1,3/16,5:20
1,3/17,4:43
2,1/1,4:35
2,1/2,3:15
2,1/3,4:27
2,1/4,3:20
2,1/5,3:32
2,1/6,3:39
2,1/7,4:10
2,1/8,2:45
2,1/9,3:41
2,1/10,4:54
2,1/11,4:05
2,1/12,3:35
2,2/1,4:03
2,2/2,4:23
2,2/3,4:21
2,2/4,3:19
2,2/5,3:55
2,2/6,4:11
2,2/7,4:27
2,2/8,3:44
2,2/9,4:17
2,2/10,5:03
2,2/11,4:56
2,3/1,2:41
2,3/2,1:12
2,3/3,4:13
2,3/4,3:39
2,3/5,3:06
2,3/6,3:55
2,3/7,3:11
2,3/8,2:13
2,3/9,6:37
2,3/10,3:22
2,3/11,3:44
2,3/12,2:00
2,3/13,3:43
3,1/1,4:33
3,1/2,3:22
3,1/3,4:28
3,1/4,4:23
3,1/5,3:48
3,1/6,6:45
3,1/7,3:39
3,1/8,3:51
3,1/9,5:56
3,1/10,3:17
3,1/11,3:26
3,1/12,6:13
3,2/1,3:02
3,2/2,4:58
3,2/3,3:02
3,2/4,4:43
3,2/5,2:23
3,2/6,2:36
3,2/7,5:26
3,2/8,5:02
3,2/9,3:22
3,2/10,8:56
3,2/11,5:19
3,2/12,2:40
3,2/13,5:18
3,2/14,4:27
3,2/15,4:17
3,2/16,10:13
3,3/1,7:42
3,3/2,4:21
3,3/3,3:16
3,3/4,5:36
3,3/5,5:41
3,3/6,3:23
3,3/7,7:04
3,3/8,4:47
3,3/9,9:42
3,3/10,4:06
3,3/11,9:23
3,3/12,5:43
3,3/13,4:44
3,3/14,1:26
4,1/1,5:17
4,1/2,3:51
4,1/3,7:09
4,1/4,4:19
4,1/5,3:23
4,1/6,5:44
4,1/7,5:39
4,1/8,7:10
4,1/9,4:56
4,1/10,5:13
4,1/11,5:32
4,1/12,6:04
4,1/13,6:45
4,1/14,8:43
4,1/15,5:15
4,1/16,5:45
4,1/17,9:16
4,1/18,6:40
4,1/19,4:09
4,1/20,4:13
4,1/21,3:27
