GENRE,ALBUM/SONG,DURATION
1,1/1,272
1,1/2,224
1,1/3,235
1,1/4,208
1,1/5,277
1,1/6,347
1,1/7,150
1,1/8,212
1,1/9,247
1,1/10,219
1,1/11,307
1,1/12,434
1,1/13,265
1,1/14,321
1,1/15,301
1,1/16,206
1,1/17,237
1,1/18,351
1,2/1,366
1,2/2,267
1,2/3,174
1,2/4,217
1,2/5,251
1,2/6,270
1,2/7,322
1,2/8,227
1,2/9,296
1,2/10,224
1,2/11,255
1,2/12,261
1,2/13,432
1,3/1,241
1,3/2,181
1,3/3,177
1,3/4,275
1,3/5,310
1,3/6,177
1,3/7,180
1,3/8,294
1,3/9,236
1,3/10,212
1,3/11,268
1,3/12,167
1,3/13,281
1,3/14,252
1,3/15,264
1,3/16,320
1,3/17,283
2,1/1,275
2,1/2,195
2,1/3,267
2,1/4,200
2,1/5,212
2,1/6,219
2,1/7,250
2,1/8,165
2,1/9,221
2,1/10,294
2,1/11,245
2,1/12,215
2,2/1,243
2,2/2,263
2,2/3,261
2,2/4,199
2,2/5,235
2,2/6,251
2,2/7,267
2,2/8,224
2,2/9,257
2,2/10,303
2,2/11,296
2,3/1,161
2,3/2,72
2,3/3,253
2,3/4,219
2,3/5,186
2,3/6,235
2,3/7,191
2,3/8,133
2,3/9,397
2,3/10,202
2,3/11,224
2,3/12,120
2,3/13,223
3,1/1,273
3,1/2,202
3,1/3,268
3,1/4,263
3,1/5,228
3,1/6,405
3,1/7,219
3,1/8,231
3,1/9,356
3,1/10,197
3,1/11,206
3,1/12,373
3,2/1,182
3,2/2,298
3,2/3,182
3,2/4,283
3,2/5,143
3,2/6,156
3,2/7,326
3,2/8,302
3,2/9,202
3,2/10,536
3,2/11,319
3,2/12,160
3,2/13,318
3,2/14,267
3,2/15,257
3,2/16,613
3,3/1,462
3,3/2,261
3,3/3,196
3,3/4,336
3,3/5,341
3,3/6,203
3,3/7,424
3,3/8,287
3,3/9,582
3,3/10,246
3,3/11,563
3,3/12,343
3,3/13,284
3,3/14,86
4,1/1,317
4,1/2,231
4,1/3,429
4,1/4,259
4,1/5,203
4,1/6,344
4,1/7,339
4,1/8,430
4,1/9,296
4,1/10,313
4,1/11,332
4,1/12,364
4,1/13,405
4,1/14,523
4,1/15,315
4,1/16,345
4,1/17,556
4,1/18,400
4,1/19,249
4,1/20,253
4,1/21,207
4,2/1,560
4,2/2,403
4,2/3,439
4,2/4,645
4,3/1,383
4,3/2,355
4,3/3,363
4,3/4,153
4,3/5,246
4,3/6,115
4,3/7,214
4,3/8,183
4,3/9,139
4,3/10,138
4,3/11,135
4,3/12,83
4,3/13,177
4,3/14,127
4,3/15,186
4,3/16,134
4,3/17,135
4,3/18,95
4,3/19,164
5,1/1,403
5,1/2,442
5,1/3,324
5,1/4,323
5,1/5,287
5,1/6,262
5,1/7,256
5,2/1,465
5,2/2,545
5,2/3,390
5,2/4,473
5,2/5,390
5,3/1,719
5,3/2,443
5,3/3,583
5,3/4,618
5,3/5,434
5,3/6,404
5,3/7,260
5,3/8,434
5,3/9,375
5,3/10,861
5,3/11,761
5,3/12,436
6,1/1,162
6,1/2,187
6,1/3,96
6,1/4,183
6,1/5,217
6,1/6,181
6,1/7,239
6,1/8,130
6,1/9,114
6,1/10,76
6,1/11,161
6,1/12,176
6,1/13,162
6,1/14,105
6,1/15,182
6,1/16,345
6,2/1,242
6,2/2,203
6,2/3,134
6,2/4,428
6,2/5,142
6,2/6,227
6,2/7,184
6,2/8,233
6,2/9,157
6,2/10,89
6,3/1,266
6,3/2,216
6,3/3,207
6,3/4,234
6,3/5,233
6,3/6,232
6,3/7,199
6,3/8,177
6,3/9,159
6,3/10,198
6,3/11,192
6,3/12,182
6,3/13,219
6,3/14,213
6,3/15,178
7,1/1,90
7,1/2,214
7,1/3,231
7,1/4,253
7,1/5,204
7,1/6,291
7,1/7,247
7,1/8,205
7,1/9,298
7,1/10,280
7,1/11,197
7,1/12,196
7,1/13,227
7,2/1,130
7,2/2,263
7,2/3,270
7,2/4,262
7,2/5,290
7,2/6,427
7,2/7,281
7,2/8,292
7,2/9,289
7,2/10,265
7,2/11,173
7,2/12,311
7,2/13,259
7,2/14,246
7,2/15,260
7,2/16,270
7,2/17,100
7,2/18,275
7,3/1,242
7,3/2,229
7,3/3,274
7,3/4,229
7,3/5,238
7,3/6,273
7,3/7,234
7,3/8,260
7,3/9,222
7,3/10,357
7,3/11,248
7,3/12,179
7,3/13,204
7,3/14,259
7,3/15,284
8,1/1,151
8,1/2,218
8,1/3,153
8,1/4,234
8,1/5,183
8,1/6,188
8,1/7,193
8,1/8,224
8,1/9,175
8,1/10,202
8,1/11,196
8,2/1,169
8,2/2,219
8,2/3,207
8,2/4,153
8,2/5,186
8,2/6,196
8,2/7,176
8,2/8,187
8,2/9,141
8,2/10,185
8,2/11,162
8,3/1,309
8,3/2,222
8,3/3,235
8,3/4,293
8,3/5,375
8,3/6,310
8,3/7,275
8,3/8,337
8,3/9,351
